gen,cells,spd_avg,spd_dev,vis_avg,vis_dev,len_avg,wid_avg,hgt_avg,asp_avg,asp_dev,spk_avg,spk_max,food,density,lineages,oldest,ph_emit_ch0_avg,ph_emit_ch1_avg,ph_emit_ch2_avg,ph_emit_ch0_dev,ph_emit_ch1_dev,ph_emit_ch2_dev,ph_burst_score_ch0,ph_burst_score_ch1,ph_burst_score_ch2,abs_x,abs_y,edge_frac,corner_frac,mean_x,mean_y,energy_avg,births,deaths,fertile_ticks,atk_emit,predation_events,recurrent_io,nn_dist_avg,density_avg,density_dev,dmg_avg,noise_avg,bonds_formed,bonds_broken,mean_bond_count,bond_active_frac,bond_signal_avg,adhesion_entropy,bond_stiff_avg,bond_damp_avg,state_avg,state_dev,altruist_frac,fov_avg,fov_dev,temp_avg,topt_avg,topt_dev,carnivore_avg,gain_vis_avg,gain_chem_avg,gain_def_avg,gain_vis_dev,gain_chem_dev,gain_def_dev,cppn_compat,shock_active_count,shock_hazard_intensity_max,shock_climate_offset,shock_food_factor,lineage_count,behavioral_entropy_attack,weight_diversity_w1_norm,spike_count_avg,spike_complexity_avg,spike_total_length_avg,ticks_per_sec,coop_food_solved,coop_food_failed,coop_food_arrivals_avg,bonded_attack_eff,swarm_attack_frac,pack_attack_frac,vib_emit_avg,vib_amp_avg,vib_grad_mag_avg,gain_mech_avg,gain_mech_dev,maze_active,maze_in_goal_frac,maze_unique_reach_frac,maze_first_reach_total
10,505,96.22,13.136,23.36,15.329,1.463,1.337,1.334,1.094,0.294,0.322,2.000,7903,1.143,7,10,0.853,0.821,0.802,0.3428,0.3694,0.3867,0.0232,0.0223,0.0219,0.458,0.513,0.194,0.008,-0.006,0.031,95.40,326,324,8888,0.850,823,0.534,37.30,0.000,0.000,0.000,0.532,46,50,0.071,0.057,0.829,0.949,3.090,0.439,0.507,0.045,0.012,3.004,0.129,17.13,14.87,7.733,0.124,1.135,1.113,0.802,0.153,0.156,0.208,0.415,0,0.000,0.000,1.000,7,0.877,182.940,1.279,0.049,0.412,180.4,0,9,0.222,0.000,0.000,0.000,1.3185,0.0216,0.0005,0.764,0.254,0,0.0000,0.0000,0
11,529,100.24,14.309,21.56,16.751,1.434,1.376,1.458,1.043,0.277,0.334,2.000,7423,1.147,6,11,0.882,0.847,0.828,0.3181,0.3534,0.3728,0.0179,0.0177,0.0173,0.494,0.476,0.157,0.002,0.055,-0.007,92.66,360,336,8816,0.883,312,0.546,37.72,0.000,0.000,0.000,0.509,21,26,0.049,0.043,0.861,0.950,2.683,0.434,0.500,0.042,0.004,2.997,0.134,18.15,14.94,7.361,0.112,1.099,1.112,0.765,0.182,0.160,0.207,0.391,0,0.000,0.000,1.000,6,0.645,157.506,1.374,0.062,0.446,176.5,0,14,0.714,0.000,0.000,0.000,1.3184,0.0205,0.0004,0.770,0.270,0,0.0000,0.0000,0
12,502,106.45,14.388,20.79,16.630,1.435,1.455,1.486,0.990,0.266,0.319,1.673,7092,1.150,6,12,0.882,0.811,0.780,0.3053,0.3746,0.3984,0.0162,0.0160,0.0159,0.483,0.505,0.179,0.004,-0.018,-0.011,89.49,351,378,8706,0.873,450,0.540,36.88,0.000,0.000,0.000,0.502,34,24,0.092,0.074,0.842,0.896,2.814,0.453,0.490,0.039,0.000,3.006,0.118,18.06,15.07,7.019,0.111,1.094,1.093,0.704,0.186,0.174,0.214,0.369,0,0.000,0.000,1.000,6,0.815,170.213,1.351,0.061,0.455,179.6,0,9,0.222,0.000,0.000,0.000,1.3044,0.0200,0.0004,0.786,0.266,0,0.0000,0.0000,0
13,489,111.58,12.501,16.04,15.167,1.470,1.489,1.497,1.006,0.264,0.301,1.894,6766,1.150,6,13,0.913,0.873,0.841,0.2695,0.3223,0.3576,0.0107,0.0105,0.0105,0.472,0.484,0.139,0.012,0.034,-0.028,90.78,343,356,9012,0.910,641,0.543,35.74,0.000,0.000,0.000,0.501,38,37,0.098,0.082,0.897,0.950,3.175,0.457,0.483,0.043,0.000,3.004,0.121,17.94,15.28,6.791,0.102,1.100,1.090,0.697,0.205,0.191,0.238,0.358,0,0.000,0.000,1.000,6,0.639,180.854,1.280,0.061,0.428,183.4,2,15,0.824,0.000,0.000,0.000,1.2884,0.0202,0.0005,0.790,0.258,0,0.0000,0.0000,0
14,501,112.42,11.129,13.27,13.935,1.408,1.602,1.487,0.901,0.268,0.276,2.000,6376,1.147,5,14,0.920,0.893,0.872,0.2559,0.2961,0.3226,0.0067,0.0067,0.0067,0.496,0.475,0.166,0.006,-0.057,0.025,89.75,355,343,9056,0.918,608,0.542,37.10,0.000,0.000,0.000,0.499,49,55,0.088,0.054,0.910,0.956,3.312,0.456,0.479,0.039,0.000,2.997,0.120,17.39,15.88,6.511,0.094,1.098,1.129,0.652,0.238,0.220,0.251,0.346,0,0.000,0.000,1.000,5,0.588,174.123,1.200,0.093,0.377,181.6,0,8,0.375,0.000,0.000,0.000,1.3037,0.0199,0.0005,0.742,0.309,0,0.0000,0.0000,0
15,411,111.99,14.034,13.07,14.393,1.407,1.619,1.509,0.893,0.238,0.318,1.973,6646,1.143,5,15,0.934,0.879,0.856,0.2368,0.3159,0.3430,0.0045,0.0044,0.0044,0.487,0.483,0.175,0.002,-0.011,-0.013,91.09,261,351,7774,0.930,333,0.548,42.48,0.000,0.000,0.000,0.511,21,33,0.049,0.046,0.907,0.975,3.478,0.503,0.483,0.042,0.000,2.973,0.115,17.11,15.63,6.580,0.090,1.095,1.091,0.668,0.241,0.241,0.257,0.335,0,0.000,0.000,1.000,5,0.509,203.459,1.299,0.109,0.450,183.9,1,14,0.733,0.000,0.000,0.000,1.2903,0.0190,0.0005,0.784,0.321,0,0.0000,0.0000,0
16,428,117.50,16.449,11.25,13.399,1.374,1.609,1.479,0.878,0.229,0.325,2.000,6439,1.136,5,16,0.937,0.902,0.867,0.2278,0.2826,0.3265,0.0056,0.0055,0.0055,0.496,0.507,0.199,0.014,0.026,0.036,93.37,309,292,8771,0.939,469,0.545,41.21,0.000,0.000,0.000,0.502,16,22,0.037,0.037,0.923,0.967,3.833,0.543,0.478,0.042,0.000,2.943,0.124,16.54,14.59,6.373,0.105,1.058,1.049,0.702,0.245,0.244,0.276,0.324,0,0.000,0.000,1.000,5,0.464,201.744,1.311,0.116,0.453,184.0,0,7,0.429,0.000,0.000,0.000,1.3361,0.0203,0.0005,0.790,0.349,0,0.0000,0.0000,0
17,404,116.80,16.527,13.20,17.476,1.387,1.701,1.426,0.839,0.232,0.295,1.749,6448,1.127,5,17,0.943,0.908,0.883,0.2097,0.2731,0.3082,0.0033,0.0033,0.0033,0.473,0.493,0.153,0.017,-0.071,0.061,94.37,304,328,8871,0.941,455,0.542,41.66,0.000,0.000,0.000,0.500,17,18,0.035,0.035,0.926,0.961,4.165,0.595,0.470,0.040,0.000,2.934,0.129,16.36,13.72,6.238,0.105,0.999,1.099,0.742,0.230,0.259,0.297,0.310,0,0.000,0.000,1.000,5,0.507,181.813,1.458,0.100,0.467,182.9,0,13,0.692,0.000,0.000,0.000,1.3117,0.0198,0.0005,0.801,0.359,0,0.0000,0.0000,0
18,399,119.49,19.092,9.92,12.546,1.347,1.793,1.504,0.768,0.221,0.292,1.351,6462,1.116,5,18,0.932,0.907,0.877,0.2302,0.2718,0.3122,0.0008,0.0007,0.0007,0.452,0.484,0.170,0.008,-0.017,0.035,97.46,273,278,8662,0.932,257,0.539,42.61,0.000,0.000,0.000,0.527,16,19,0.030,0.028,0.917,0.970,4.446,0.622,0.461,0.040,0.000,2.911,0.143,16.04,14.24,5.800,0.098,0.928,1.134,0.807,0.294,0.274,0.325,0.312,0,0.000,0.000,1.000,5,0.570,189.785,1.719,0.113,0.532,184.6,0,10,0.400,0.000,0.000,0.000,1.2528,0.0187,0.0004,0.803,0.387,0,0.0000,0.0000,0
19,409,119.98,19.979,9.31,11.120,1.392,1.856,1.526,0.780,0.216,0.295,1.671,6516,1.103,5,19,0.936,0.886,0.857,0.2172,0.2980,0.3337,0.0008,0.0007,0.0007,0.477,0.497,0.188,0.007,0.056,0.041,91.49,284,274,7944,0.935,284,0.538,38.78,0.000,0.000,0.000,0.512,19,16,0.049,0.046,0.917,0.952,4.629,0.676,0.461,0.043,0.000,2.907,0.142,16.35,14.17,5.544,0.099,0.959,1.148,0.749,0.288,0.280,0.321,0.289,0,0.000,0.000,1.000,5,0.583,214.633,1.778,0.119,0.556,183.6,0,16,0.500,0.000,0.000,0.000,1.2266,0.0175,0.0004,0.839,0.383,0,0.0000,0.0000,0
20,407,127.43,18.915,12.24,14.269,1.436,1.834,1.462,0.813,0.210,0.283,1.784,6466,1.088,5,20,0.958,0.901,0.864,0.1832,0.2872,0.3354,0.0009,0.0008,0.0008,0.490,0.501,0.189,0.017,0.024,-0.019,93.41,293,295,8766,0.962,459,0.547,41.42,0.000,0.000,0.000,0.505,27,29,0.049,0.049,0.939,0.944,4.722,0.667,0.473,0.044,0.000,2.934,0.127,15.74,14.27,5.456,0.102,0.939,1.131,0.691,0.324,0.301,0.311,0.257,0,0.000,0.000,1.000,5,0.375,197.019,1.934,0.105,0.602,182.5,0,10,0.400,0.000,0.000,0.000,1.2592,0.0184,0.0005,0.861,0.326,0,0.0000,0.0000,0
21,430,131.98,15.800,13.81,12.836,1.445,1.883,1.390,0.788,0.224,0.227,1.396,6198,1.072,5,21,0.955,0.867,0.823,0.1928,0.3298,0.3742,0.0010,0.0009,0.0008,0.446,0.450,0.153,0.005,0.043,-0.015,93.15,319,296,7891,0.944,278,0.547,39.44,0.000,0.000,0.000,0.503,22,29,0.023,0.023,0.904,0.936,4.401,0.579,0.472,0.048,0.002,2.908,0.136,14.84,13.59,5.567,0.095,0.908,1.218,0.731,0.308,0.313,0.334,0.238,0,0.000,0.000,1.000,5,0.455,182.380,1.958,0.115,0.592,182.4,0,9,0.444,0.000,0.000,0.000,1.2277,0.0198,0.0005,0.886,0.275,0,0.0000,0.0000,0
22,432,134.14,15.816,15.31,11.900,1.406,1.991,1.443,0.719,0.191,0.265,1.721,5967,1.055,5,22,0.958,0.871,0.816,0.1844,0.3251,0.3809,0.0071,0.0085,0.0085,0.523,0.486,0.208,0.014,-0.024,0.000,90.13,317,315,8835,0.950,442,0.547,43.73,0.000,0.000,0.000,0.499,30,23,0.065,0.051,0.903,0.958,4.143,0.530,0.484,0.047,0.002,2.920,0.125,16.09,12.45,5.936,0.077,0.889,1.277,0.743,0.300,0.288,0.338,0.249,0,0.000,0.000,1.000,5,0.419,194.255,1.972,0.111,0.651,182.9,0,10,0.100,0.000,0.000,0.000,1.2065,0.0167,0.0004,0.851,0.263,0,0.0000,0.0000,0
23,408,137.23,12.649,15.46,12.682,1.413,1.982,1.561,0.733,0.213,0.319,1.607,5831,1.037,5,23,0.943,0.893,0.846,0.2204,0.3002,0.3534,0.0094,0.0095,0.0095,0.500,0.482,0.196,0.002,0.045,0.032,97.56,286,310,8399,0.937,414,0.548,43.32,0.000,0.000,0.000,0.519,26,27,0.083,0.074,0.921,0.949,4.164,0.548,0.492,0.044,0.000,2.943,0.126,14.94,12.96,5.960,0.065,0.977,1.391,0.762,0.301,0.236,0.362,0.239,0,0.000,0.000,1.000,5,0.504,181.788,1.978,0.108,0.713,188.4,0,9,0.333,0.000,0.000,0.000,1.1775,0.0164,0.0004,0.859,0.246,0,0.0000,0.0000,0
24,390,137.86,10.900,14.89,12.789,1.390,1.960,1.581,0.741,0.248,0.350,1.669,6116,1.019,4,24,0.943,0.887,0.861,0.2107,0.2987,0.3304,0.0060,0.0059,0.0059,0.510,0.525,0.182,0.008,-0.014,0.022,94.89,243,261,8379,0.947,450,0.539,43.96,0.000,0.000,0.000,0.512,32,32,0.092,0.085,0.914,0.952,3.799,0.578,0.494,0.042,0.000,2.926,0.130,14.44,13.53,5.761,0.049,0.973,1.371,0.755,0.295,0.248,0.330,0.217,0,0.000,0.000,1.000,4,0.498,181.789,1.933,0.104,0.732,190.3,0,9,0.222,0.000,0.000,0.000,1.1981,0.0172,0.0004,0.811,0.263,0,0.0000,0.0000,0
25,448,138.20,10.973,13.20,10.429,1.329,1.948,1.681,0.715,0.249,0.312,2.000,5916,1.000,4,25,0.964,0.945,0.925,0.1716,0.2125,0.2524,0.0010,0.0009,0.0009,0.503,0.474,0.167,0.011,0.028,0.043,94.47,315,257,8402,0.965,550,0.548,38.43,0.000,0.000,0.000,0.493,27,24,0.089,0.076,0.954,0.971,3.162,0.552,0.491,0.045,0.000,2.908,0.136,13.52,13.35,6.075,0.051,0.924,1.378,0.731,0.303,0.248,0.360,0.221,0,0.000,0.000,1.000,4,0.356,204.585,2.013,0.096,0.727,187.0,0,11,0.455,0.000,0.000,0.000,1.2168,0.0179,0.0004,0.778,0.243,0,0.0000,0.0000,0
26,476,141.42,11.334,11.76,10.252,1.376,1.887,1.623,0.772,0.249,0.307,2.000,5369,0.981,4,26,0.972,0.945,0.929,0.1572,0.2215,0.2510,0.0025,0.0024,0.0024,0.482,0.473,0.153,0.006,0.015,0.015,89.15,332,304,8794,0.974,545,0.550,38.11,0.000,0.000,0.000,0.495,40,46,0.076,0.065,0.961,0.985,2.812,0.551,0.485,0.044,0.000,2.913,0.142,14.06,11.65,6.159,0.060,0.908,1.379,0.719,0.276,0.227,0.334,0.203,0,0.000,0.000,1.000,4,0.256,204.513,2.061,0.097,0.758,182.9,0,5,0.400,0.000,0.000,0.000,1.2610,0.0178,0.0004,0.758,0.235,0,0.0000,0.0000,0
27,405,140.23,10.621,10.82,10.480,1.447,1.965,1.636,0.774,0.250,0.388,2.000,5693,0.963,4,27,0.962,0.937,0.920,0.1814,0.2366,0.2658,0.0033,0.0033,0.0033,0.526,0.502,0.163,0.017,-0.029,0.063,93.42,234,305,7794,0.966,486,0.545,40.95,0.000,0.000,0.000,0.499,46,44,0.109,0.064,0.952,0.968,2.446,0.556,0.480,0.043,0.000,2.897,0.156,12.27,11.21,6.301,0.063,0.922,1.401,0.651,0.224,0.208,0.313,0.210,0,0.000,0.000,1.000,4,0.301,202.037,2.042,0.094,0.858,189.9,0,8,0.125,0.000,0.000,0.000,1.2070,0.0181,0.0004,0.756,0.229,0,0.0000,0.0000,0
28,473,139.99,9.472,11.16,11.239,1.383,1.853,1.535,0.792,0.248,0.359,2.000,5366,0.945,4,28,0.974,0.960,0.932,0.1475,0.1916,0.2462,0.0010,0.0010,0.0009,0.482,0.507,0.205,0.004,0.017,-0.039,91.61,335,267,8869,0.977,652,0.548,37.74,0.000,0.000,0.000,0.516,24,35,0.063,0.047,0.975,0.974,2.123,0.561,0.478,0.045,0.000,2.915,0.182,11.91,10.64,5.672,0.059,0.966,1.425,0.611,0.199,0.187,0.257,0.203,0,0.000,0.000,1.000,4,0.232,200.748,2.074,0.101,0.824,182.4,0,16,0.500,0.000,0.000,0.000,1.2977,0.0193,0.0005,0.737,0.274,0,0.0000,0.0000,0
29,511,140.18,9.615,10.71,10.597,1.467,1.920,1.551,0.810,0.257,0.334,2.000,5083,0.928,4,29,0.978,0.966,0.951,0.1337,0.1735,0.2105,0.0009,0.0009,0.0009,0.454,0.465,0.204,0.006,0.012,-0.011,86.16,328,290,8300,0.981,951,0.550,36.83,0.000,0.000,0.000,0.504,70,60,0.110,0.076,0.976,0.971,2.073,0.570,0.479,0.046,0.000,2.904,0.190,11.92,10.51,5.492,0.059,0.982,1.401,0.588,0.198,0.198,0.232,0.209,0,0.000,0.000,1.000,4,0.195,230.427,1.830,0.095,0.785,180.1,0,13,0.538,0.000,0.000,0.000,1.2478,0.0191,0.0004,0.717,0.264,0,0.0000,0.0000,0
30,420,141.00,10.192,12.32,11.268,1.525,2.076,1.641,0.764,0.237,0.405,2.000,5417,0.912,4,30,0.976,0.958,0.939,0.1418,0.1881,0.2309,0.0009,0.0008,0.0008,0.499,0.510,0.179,0.002,0.047,0.029,90.10,251,342,8849,0.976,831,0.549,39.83,0.000,0.000,0.000,0.495,55,65,0.114,0.074,0.973,0.965,2.043,0.579,0.478,0.042,0.000,2.924,0.168,10.91,10.90,5.048,0.065,0.981,1.376,0.598,0.189,0.185,0.232,0.195,0,0.000,0.000,1.000,4,0.246,224.838,1.550,0.094,0.739,186.3,1,13,0.786,0.000,0.000,0.000,1.1589,0.0167,0.0004,0.700,0.279,0,0.0000,0.0000,0
